label,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
16,Winter,2011,January,0,no,Saturday,no,Clear,0.24,0.2879,0.81,0
40,Winter,2011,January,1,no,Saturday,no,Clear,0.22,0.2727,0.8,0
32,Winter,2011,January,2,no,Saturday,no,Clear,0.22,0.2727,0.8,0
13,Winter,2011,January,3,no,Saturday,no,Clear,0.24,0.2879,0.75,0
1,Winter,2011,January,4,no,Saturday,no,Clear,0.24,0.2879,0.75,0
1,Winter,2011,January,5,no,Saturday,no,Few Clouds,0.24,0.2576,0.75,0.0896
2,Winter,2011,January,6,no,Saturday,no,Clear,0.22,0.2727,0.8,0
3,Winter,2011,January,7,no,Saturday,no,Clear,0.2,0.2576,0.86,0
8,Winter,2011,January,8,no,Saturday,no,Clear,0.24,0.2879,0.75,0
14,Winter,2011,January,9,no,Saturday,no,Clear,0.32,0.3485,0.76,0
36,Winter,2011,January,10,no,Saturday,no,Clear,0.38,0.3939,0.76,0.2537
56,Winter,2011,January,11,no,Saturday,no,Clear,0.36,0.3333,0.81,0.2836
84,Winter,2011,January,12,no,Saturday,no,Clear,0.42,0.4242,0.77,0.2836
94,Winter,2011,January,13,no,Saturday,no,Few Clouds,0.46,0.4545,0.72,0.2985
106,Winter,2011,January,14,no,Saturday,no,Few Clouds,0.46,0.4545,0.72,0.2836
110,Winter,2011,January,15,no,Saturday,no,Few Clouds,0.44,0.4394,0.77,0.2985
93,Winter,2011,January,16,no,Saturday,no,Few Clouds,0.42,0.4242,0.82,0.2985
67,Winter,2011,January,17,no,Saturday,no,Few Clouds,0.44,0.4394,0.82,0.2836
35,Winter,2011,January,18,no,Saturday,no,Partly Cloudy,0.42,0.4242,0.88,0.2537
37,Winter,2011,January,19,no,Saturday,no,Partly Cloudy,0.42,0.4242,0.88,0.2537
36,Winter,2011,January,20,no,Saturday,no,Few Clouds,0.4,0.4091,0.87,0.2537
34,Winter,2011,January,21,no,Saturday,no,Few Clouds,0.4,0.4091,0.87,0.194
28,Winter,2011,January,22,no,Saturday,no,Few Clouds,0.4,0.4091,0.94,0.2239
39,Winter,2011,January,23,no,Saturday,no,Few Clouds,0.46,0.4545,0.88,0.2985
