Dataset,LearningRate,Neurons,Performance
penguins.csv,1e-05,8,0.40697672963142395
penguins.csv,0.0001,8,0.45348837971687317
penguins.csv,0.001,8,0.8604651093482971
penguins.csv,0.01,8,0.9883720874786377
penguins.csv,0.1,8,0.9883720874786377
penguins.csv,1e-05,16,0.40697672963142395
penguins.csv,0.0001,16,0.41860464215278625
penguins.csv,0.001,16,0.930232584476471
penguins.csv,0.01,16,0.9883720874786377
penguins.csv,0.1,16,1.0
penguins.csv,1e-05,32,0.41860464215278625
penguins.csv,0.0001,32,0.41860464215278625
penguins.csv,0.001,32,0.9534883499145508
penguins.csv,0.01,32,0.9883720874786377
penguins.csv,0.1,32,0.9883720874786377
penguins.csv,1e-05,64,0.40697672963142395
penguins.csv,0.0001,64,0.7093023061752319
penguins.csv,0.001,64,0.9534883499145508
penguins.csv,0.01,64,0.9883720874786377
penguins.csv,0.1,64,0.9883720874786377
penguins.csv,1e-05,128,0.41860464215278625
penguins.csv,0.0001,128,0.8139534592628479
penguins.csv,0.001,128,0.9767441749572754
penguins.csv,0.01,128,0.9883720874786377
penguins.csv,0.1,128,0.9883720874786377
penguins.csv,1e-05,256,0.41860464215278625
penguins.csv,0.0001,256,0.8255813717842102
penguins.csv,0.001,256,0.9767441749572754
penguins.csv,0.01,256,0.9883720874786377
penguins.csv,0.1,256,0.9883720874786377
mnist1000.csv,1e-05,8,0.7228000164031982
mnist1000.csv,0.0001,8,0.8791999816894531
mnist1000.csv,0.001,8,0.8611999750137329
mnist1000.csv,0.01,8,0.8532000184059143
mnist1000.csv,0.1,8,0.8672000169754028
mnist1000.csv,1e-05,16,0.8335999846458435
mnist1000.csv,0.0001,16,0.9147999882698059
mnist1000.csv,0.001,16,0.9039999842643738
mnist1000.csv,0.01,16,0.8960000276565552
mnist1000.csv,0.1,16,0.9039999842643738
mnist1000.csv,1e-05,32,0.871999979019165
mnist1000.csv,0.0001,32,0.9323999881744385
mnist1000.csv,0.001,32,0.9236000180244446
mnist1000.csv,0.01,32,0.9228000044822693
mnist1000.csv,0.1,32,0.902400016784668
mnist1000.csv,1e-05,64,0.8920000195503235
mnist1000.csv,0.0001,64,0.9344000220298767
mnist1000.csv,0.001,64,0.9359999895095825
mnist1000.csv,0.01,64,0.9416000247001648
mnist1000.csv,0.1,64,0.8960000276565552
mnist1000.csv,1e-05,128,0.9020000100135803
mnist1000.csv,0.0001,128,0.9408000111579895
mnist1000.csv,0.001,128,0.9480000138282776
mnist1000.csv,0.01,128,0.9524000287055969
mnist1000.csv,0.1,128,0.8784000277519226
mnist1000.csv,1e-05,256,0.9071999788284302
mnist1000.csv,0.0001,256,0.9408000111579895
mnist1000.csv,0.001,256,0.9476000070571899
mnist1000.csv,0.01,256,0.9571999907493591
mnist1000.csv,0.1,256,0.8924000263214111
energy.csv,1e-05,8,89.0097885131836
energy.csv,0.0001,8,49.1099967956543
energy.csv,0.001,8,42.958805084228516
energy.csv,0.01,8,40.31840133666992
energy.csv,0.1,8,42.335079193115234
energy.csv,1e-05,16,82.4454116821289
energy.csv,0.0001,16,46.78013229370117
energy.csv,0.001,16,42.811954498291016
energy.csv,0.01,16,39.5965461730957
energy.csv,0.1,16,43.06928634643555
energy.csv,1e-05,32,70.72307586669922
energy.csv,0.0001,32,45.01246643066406
energy.csv,0.001,32,42.71400833129883
energy.csv,0.01,32,39.109344482421875
energy.csv,0.1,32,42.415855407714844
energy.csv,1e-05,64,50.21286392211914
energy.csv,0.0001,64,44.66722106933594
energy.csv,0.001,64,42.66367721557617
energy.csv,0.01,64,38.879695892333984
energy.csv,0.1,64,42.818687438964844
energy.csv,1e-05,128,49.0241813659668
energy.csv,0.0001,128,44.490074157714844
energy.csv,0.001,128,42.61125564575195
energy.csv,0.01,128,38.17368698120117
energy.csv,0.1,128,40.65702819824219
energy.csv,1e-05,256,48.31046676635742
energy.csv,0.0001,256,44.38292694091797
energy.csv,0.001,256,42.64275360107422
energy.csv,0.01,256,38.30060577392578
energy.csv,0.1,256,40.375389099121094
seoulbike.csv,1e-05,8,722.121337890625
seoulbike.csv,0.0001,8,692.581298828125
seoulbike.csv,0.001,8,502.62652587890625
seoulbike.csv,0.01,8,239.74581909179688
seoulbike.csv,0.1,8,218.07911682128906
seoulbike.csv,1e-05,16,719.5745849609375
seoulbike.csv,0.0001,16,663.2996215820312
seoulbike.csv,0.001,16,400.3426818847656
seoulbike.csv,0.01,16,232.41416931152344
seoulbike.csv,0.1,16,210.82516479492188
seoulbike.csv,1e-05,32,712.6868896484375
seoulbike.csv,0.0001,32,616.37939453125
seoulbike.csv,0.001,32,303.1203918457031
seoulbike.csv,0.01,32,226.90628051757812
seoulbike.csv,0.1,32,201.9307403564453
seoulbike.csv,1e-05,64,701.7268676757812
seoulbike.csv,0.0001,64,550.80908203125
seoulbike.csv,0.001,64,274.0653991699219
seoulbike.csv,0.01,64,224.6239471435547
seoulbike.csv,0.1,64,179.27902221679688
seoulbike.csv,1e-05,128,685.0086059570312
seoulbike.csv,0.0001,128,460.80029296875
seoulbike.csv,0.001,128,262.6631774902344
seoulbike.csv,0.01,128,221.8214569091797
seoulbike.csv,0.1,128,170.70306396484375
seoulbike.csv,1e-05,256,643.7283325195312
seoulbike.csv,0.0001,256,372.53314208984375
seoulbike.csv,0.001,256,260.6842041015625
seoulbike.csv,0.01,256,216.58644104003906
seoulbike.csv,0.1,256,163.38099670410156
penguins.csv,1e-05,128,0.39534884691238403
penguins.csv,1e-05,128,0.39534884691238403
penguins.csv,0.01,128,0.9883720874786377
penguins.csv,1e-05,128,0.39534884691238403
seoulbike.csv,1e-05,128,682.8369140625
seoulbike.csv,0.01,128,216.29510498046875
